\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 016.3340822285700 -72.0369189822600
 094.3183189573500 -67.6633923754500
 070.1978254896200 -68.9856393220000
 010.54902         +40.49257        
 010.31630023000   +41.08079506000  
 005.3653924362900 -73.4681112090000
 014.8042459823800 -72.1240140689400
 016.9257595695000 -71.7156465591300
 087.0532458083900 -70.7147844236300
 269.21071         -20.01953        
 075.8604210862900 -69.1489307178300
 284.4161558031638 +12.3522414114086
 018.7697202259900 -71.2865016625100
 076.3424564105400 -68.4020873389400
 146.2149127141000 -48.5401172174214
 015.2119074871300 -72.0418686957900
 081.1455971826800 -70.5985162451800
 078.5262518788500 -69.0739052858700
 152.6197327760600 -54.6842020758200
 014.9839437761400 -72.3717776270400
 013.0448318643100 -72.9247043820300
 083.9819869519000 -70.2031880198000
 017.5468533273600 -73.3735708245300
 011.7874605446200 -72.7262468017100
 223.1469114979200 -63.8098213141100
 303.3965592687529 +35.1617714947742
 097.5003491848100 +10.3644511556600
 073.1031910884800 -70.6258837474400
 015.2788664302700 -73.3530163984300
 088.5195652095900 -69.3903647601400
 076.4763993982100 -70.8777150619000
 082.2695244611000 -66.5004893948600
 083.1158699747600 -69.5714639396700
 017.0362962388700 -71.2900706614400
 011.3715133971100 +42.1451995408900
 009.9587037580100 -73.4992790499200
 011.9918362549000 -73.3863543857200
 016.8655380500200 -73.3730683404700
 014.5262544972400 -73.3068871120400
 013.0923374674700 -72.4214612372700
 010.29450         +40.79750        
 079.4852177248788 -69.5814205907272
 256.73983         -41.71467        
 012.6959875115000 -74.1981910486200
 088.9274179513900 -65.5376563620900
 127.1489357292454 -38.6752756910805
 280.7386411745800 -05.8209030178300
 114.0844413174067 -28.6680829040517
 129.4201110480200 -47.3619679001200
 015.5917396463300 -73.4355353556400
 018.9646632592900 -73.3744871316300
 079.6744907028900 -69.6397413040900
 010.0141502834358 +64.2399323305047
 019.2835246376200 -72.3347221160500
 074.3190980790300 -70.7832218064400
 010.27200         +40.57300        
 012.6010669058400 -74.0582241927700
 311.4991565697100 +45.3069581992300
 260.82312         -35.04533        
 327.9226734177599 +43.1340394683400
 016.0461092322200 -73.7219111334900
 012.0082120445800 -73.6376057190800
 197.9634439914529 -64.1604912450006
 065.8298911969300 +44.2368725349900
 010.00046         +40.55633        
 084.6574520787900 -70.6357678019600
 076.4959851275700 -67.3451178271100
 010.10423753000   +40.72197512000  
 182.1597444943000 -63.9027543057300
 254.64842         -42.61531        
 006.5317050304500 -73.9513805850400
 009.96400473000   +40.97440326000  
 340.2172737619300 +56.8294677151200
 023.4259608293221 +30.6297679600147
 189.0386865476500 -62.3418125185200
 254.5822833342033 -33.6091020023456
 010.13785619000   +40.48273606000  
 015.8547682390100 -72.6543006463500
 085.1913343256900 -68.7347596679800
 007.33912         -73.27019        
 074.5512319568100 -68.2438512861400
 267.8567465156200 -28.5453326826500
 082.0953785509900 -69.8601360872100
 014.5816467194500 -73.1184114857000
 014.6114678408100 -71.5661109858200
 005.9333357976800 -73.3823525556600
 013.7233135447000 -73.4922316223000
 296.7881537817617 +23.1000642103669
 084.5712747934800 -70.4392529192400
 193.9415888927000 -55.5761581178800
 016.8530860878300 -72.5224363432300
 300.5973886232475 +30.5731724428086
 012.9152446623700 -73.5210167571100
 013.734532        -73.367653       
 270.8723409933200 -19.1801382629500
 250.8986034193600 -08.9416971586800
 008.8943126307000 -73.1561660989500
 149.86621         +30.74572        
 011.13584009000   +41.40609063000  
 251.2615521543899 +08.0086215306800
 013.4822209353800 -73.5097532945400
 084.6697784006100 -67.0349698231500
 077.3812404450400 -66.3808766505400
 010.03293172000   +41.01399779000  
 010.7701876751000 +41.4630095506500
 254.7607822676999 +04.7917059969200
 087.4433644898000 -67.1929938913300
 288.9812368529242 +12.6327690894378
 083.6872685869100 -66.2269736149000
 010.27107504000   +41.49601668000  
 169.2332482184900 -61.8508988408900
 268.090300        -26.522031       
 078.7634866376496 -69.4236094955914
 012.2042047348500 -73.3293620786100
 012.0125228762100 -72.3279065469300
 298.4205705543346 +29.3589361747239
 010.86126242000   +41.72704336000  
 014.8363843003100 -72.7355929593100
 263.2212654615250 -35.9114227713617
 023.5396684266267 +31.1692239523639
 077.4496213201700 -66.5961134416000
 302.4052318653716 +35.9406082445592
 263.9806696279562 -12.1206952673814
 069.1252236890800 -68.6265978032000
 013.2494666474700 -72.4255560600400
 152.73900         -04.71122        
 010.0567563311600 -73.6937212658000
 042.0233439982700 +57.9344719159900
 015.5528554342375 -73.3471733573281
 023.7218159661500 +30.9314338278500
 292.4806576428484 +19.1189800175353
 023.3757292802600 +30.6923546808400
 073.7577967180100 -68.7559216213700
 011.8560540811600 -74.3327783624400
 014.2712596204200 -72.4144154257500
 011.664792        -73.668007       
 018.3836312192600 -72.5005394246100
 010.6224013465300 +40.9417080003100
 349.8130587332954 +11.3107262225953
 126.5815380485996 -38.5555032432055
 079.6476099897337 -69.6009638802875
 082.7200518710100 -68.8402417700800
 276.4623242444800 -12.3328516988300
 167.6079865362000 -63.5062586327400
 085.7074638795900 -70.8014883464700
 010.9012260106200 -73.6478565198700
 289.8987978810000 +48.6165394389400
 014.3519364318000 -71.7478079823100
 056.3473084067300 +48.0834837817900
 078.4866476184500 -69.2657389731000
